unique_id,ds,y
SKU_01,2020-12-20,0.0
SKU_01,2020-12-21,29.0
SKU_01,2020-12-22,10.0
SKU_01,2020-12-23,18.0
SKU_01,2020-12-24,2.0
SKU_01,2020-12-25,1.0
SKU_01,2020-12-26,1.0
SKU_01,2020-12-27,0.0
SKU_01,2020-12-28,0.0
SKU_01,2020-12-29,5.0
SKU_01,2020-12-30,23.0
SKU_01,2020-12-31,4.0
SKU_01,2021-01-01,1.0
SKU_01,2021-01-02,2.0
SKU_01,2021-01-03,7.0
SKU_01,2021-01-04,71.0
SKU_01,2021-01-05,41.0
SKU_01,2021-01-06,62.0
SKU_01,2021-01-07,21.0
SKU_01,2021-01-08,59.0
SKU_01,2021-01-09,3.0
SKU_01,2021-01-10,1.0
SKU_01,2021-01-11,48.0
SKU_01,2021-01-12,36.0
SKU_01,2021-01-13,23.0
SKU_01,2021-01-14,11.0
SKU_01,2021-01-15,72.0
SKU_01,2021-01-16,6.0
SKU_01,2021-01-17,0.0
SKU_01,2021-01-18,21.0
SKU_01,2021-01-19,56.0
SKU_01,2021-01-20,87.0
SKU_01,2021-01-21,88.0
SKU_01,2021-01-22,65.0
SKU_01,2021-01-23,2.0
SKU_01,2021-01-24,0.0
SKU_01,2021-01-25,25.0
SKU_01,2021-01-26,56.0
SKU_01,2021-01-27,32.0
SKU_01,2021-01-28,50.0
SKU_01,2021-01-29,38.0
SKU_01,2021-01-30,14.0
SKU_01,2021-01-31,3.0
SKU_01,2021-02-01,25.0
SKU_01,2021-02-02,44.0
SKU_01,2021-02-03,70.0
SKU_01,2021-02-04,67.0
SKU_01,2021-02-05,115.0
SKU_01,2021-02-06,33.0
SKU_01,2021-02-07,4.0
SKU_01,2021-02-08,24.0
SKU_01,2021-02-09,38.0
SKU_01,2021-02-10,74.0
SKU_01,2021-02-11,96.0
SKU_01,2021-02-12,20.0
SKU_01,2021-02-13,1.0
SKU_01,2021-02-14,0.0
SKU_01,2021-02-15,22.0
SKU_01,2021-02-16,23.0
SKU_01,2021-02-17,29.0
SKU_01,2021-02-18,35.0
SKU_01,2021-02-19,24.0
SKU_01,2021-02-20,9.0
SKU_01,2021-02-21,16.0
SKU_01,2021-02-22,15.0
SKU_01,2021-02-23,19.0
SKU_01,2021-02-24,42.0
SKU_01,2021-02-25,41.0
SKU_01,2021-02-26,35.0
SKU_01,2021-02-27,8.0
SKU_01,2021-02-28,0.0
SKU_01,2021-03-01,42.0
SKU_01,2021-03-02,46.0
SKU_01,2021-03-03,27.0
SKU_01,2021-03-04,86.0
SKU_01,2021-03-05,52.0
SKU_01,2021-03-06,9.0
SKU_01,2021-03-07,1.0
SKU_01,2021-03-08,74.0
SKU_01,2021-03-09,66.0
SKU_01,2021-03-10,96.0
SKU_01,2021-03-11,38.0
SKU_01,2021-03-12,50.0
SKU_01,2021-03-13,20.0
SKU_01,2021-03-14,4.0
SKU_01,2021-03-15,66.0
SKU_01,2021-03-16,63.0
SKU_01,2021-03-17,45.0
SKU_01,2021-03-18,88.0
SKU_01,2021-03-19,44.0
SKU_01,2021-03-20,10.0
SKU_01,2021-03-21,6.0
SKU_01,2021-03-22,66.0
SKU_01,2021-03-23,61.0
SKU_01,2021-03-24,41.0
SKU_01,2021-03-25,107.0
SKU_01,2021-03-26,89.0
SKU_01,2021-03-27,15.0
SKU_01,2021-03-28,4.0
SKU_01,2021-03-29,39.0
SKU_01,2021-03-30,70.0
SKU_01,2021-03-31,61.0
SKU_01,2021-04-01,45.0
SKU_01,2021-04-02,10.0
SKU_01,2021-04-03,8.0
SKU_01,2021-04-04,3.0
